,predict_month,tc_id,tc_name,carton_num,predict_type,weight,volume
3,2017-04-01,388,,11177,TC正向,86191.016165,310.905720691
4,2017-05-01,388,,14430,TC正向,101278.631702,635.293633203
5,2017-06-01,388,,16584,TC正向,139080.859973,815.606730941
6,2017-07-01,388,,11736,TC正向,88911.4840439,584.333481783
7,2017-08-01,388,,12690,TC正向,134484.030565,580.204742855
8,2017-09-01,388,,15343,TC正向,112087.37041,678.898608203
9,2017-10-01,388,,20774,TC正向,158511.290051,984.7473635
10,2017-11-01,388,,17046,TC正向,117708.400703,747.82043984
11,2017-12-01,388,,16779,TC正向,126307.836204,759.75078429
0,2017-01-01,389,,391,TC正向,5382.104475,19.7127907821
1,2017-02-01,389,,191,TC正向,2621.01474688,8.60750613152
2,2017-03-01,389,,0,TC正向,0.0,0.0
3,2017-04-01,389,,732,TC正向,6769.03281772,30.5833292853
4,2017-05-01,389,,58,TC正向,648.655204824,2.42740062673
5,2017-06-01,389,,0,TC正向,0.0,0.0
6,2017-07-01,389,,0,TC正向,0.0,0.0
7,2017-08-01,389,,0,TC正向,0.0,0.0
8,2017-09-01,389,,286,TC正向,2075.18761847,15.611880207
9,2017-10-01,389,,343,TC正向,2419.36591726,18.7442532812
10,2017-11-01,389,,68,TC正向,784.824822044,3.06750662814
11,2017-12-01,389,,0,TC正向,0.0,0.0
0,2017-01-01,390,,0,TC正向,0.0,0.0
1,2017-02-01,390,,0,TC正向,0.0,0.0
2,2017-03-01,390,,240,TC正向,3082.20087914,10.6324254175
3,2017-04-01,390,,0,TC正向,0.0,0.0
4,2017-05-01,390,,0,TC正向,0.0,0.0
5,2017-06-01,390,,0,TC正向,0.0,0.0
6,2017-07-01,390,,0,TC正向,0.0,0.0
7,2017-08-01,390,,0,TC正向,0.0,0.0
8,2017-09-01,390,,0,TC正向,0.0,0.0
9,2017-10-01,390,,0,TC正向,0.0,0.0
10,2017-11-01,390,,0,TC正向,0.0,0.0
11,2017-12-01,390,,0,TC正向,0.0,0.0
0,2017-01-01,391,,0,TC正向,0.0,0.0
1,2017-02-01,391,,25193,TC正向,335510.398051,1594.76202568
2,2017-03-01,391,,29313,TC正向,511013.709527,1312.67647589
3,2017-04-01,391,,35988,TC正向,362127.979571,1924.74076585
4,2017-05-01,391,,38778,TC正向,514994.259441,1556.52640379
5,2017-06-01,391,,37990,TC正向,382389.469202,2132.98924041
6,2017-07-01,391,,42109,TC正向,612325.988445,1908.67324469
7,2017-08-01,391,,38830,TC正向,437757.666613,2009.73332791
8,2017-09-01,391,,39574,TC正向,566712.763193,2186.99498076
9,2017-10-01,391,,40604,TC正向,519376.987396,2236.08948095
10,2017-11-01,391,,43138,TC正向,752025.019669,1657.89569151
11,2017-12-01,391,,72113,TC正向,1257146.37311,3950.21249444
0,2017-01-01,392,,20188,TC正向,146601.575571,879.07702502
1,2017-02-01,392,,17584,TC正向,101619.861331,923.492751446
2,2017-03-01,392,,21051,TC正向,188610.798592,773.125412111
3,2017-04-01,392,,20506,TC正向,173052.33227,913.611009848
4,2017-05-01,392,,27748,TC正向,338721.422948,1531.60713734
5,2017-06-01,392,,19739,TC正向,186991.209216,475.897333935
6,2017-07-01,392,,28107,TC正向,355131.421592,1386.2294354
7,2017-08-01,392,,27488,TC正向,243657.15086,913.284848687
8,2017-09-01,392,,31879,TC正向,215756.847678,1494.25411432
9,2017-10-01,392,,31542,TC正向,225940.755857,1635.3134932
10,2017-11-01,392,,18069,TC正向,198569.559506,341.924856541
11,2017-12-01,392,,35691,TC正向,353308.083954,1810.04962536
0,2017-01-01,396,,23997,TC正向,130126.703522,1674.88326119
1,2017-02-01,396,,28442,TC正向,196113.352319,1521.80413413
2,2017-03-01,396,,31438,TC正向,269909.512452,2615.60610919
3,2017-04-01,396,,34816,TC正向,188794.070501,1549.5298312
4,2017-05-01,396,,49601,TC正向,394115.764623,2371.02293996
5,2017-06-01,396,,35778,TC正向,389795.571211,1846.25334412
6,2017-07-01,396,,29839,TC正向,269330.692265,2346.41535174
7,2017-08-01,396,,41488,TC正向,229023.672532,3075.58869095
8,2017-09-01,396,,34714,TC正向,352552.374905,1441.50839997
9,2017-10-01,396,,60966,TC正向,455897.208291,2531.629922
10,2017-11-01,396,,45970,TC正向,502881.221998,2825.53698475
11,2017-12-01,396,,53192,TC正向,410846.745602,3885.84117157
0,2017-01-01,397,,4430,TC正向,53321.7566629,180.306892718
1,2017-02-01,397,,2107,TC正向,23564.9884109,122.645154821
2,2017-03-01,397,,3000,TC正向,33310.9294683,152.859303859
3,2017-04-01,397,,2935,TC正向,30990.5777732,157.812612884
4,2017-05-01,397,,1965,TC正向,23046.7361123,95.843499353
5,2017-06-01,397,,3017,TC正向,34096.9369009,185.405943793
6,2017-07-01,397,,2818,TC正向,34628.728799,121.348520285
7,2017-08-01,397,,3263,TC正向,38538.0423617,173.2947454
8,2017-09-01,397,,3720,TC正向,50659.3389765,196.744385879
9,2017-10-01,397,,4085,TC正向,40393.7774582,190.435417167
10,2017-11-01,397,,3828,TC正向,49060.7387413,200.343351191
11,2017-12-01,397,,2355,TC正向,29786.6471256,116.670904575
0,2017-01-01,423,,69008,TC正向,775422.377294,3777.56819011
1,2017-02-01,423,,35713,TC正向,463091.605717,3034.5440747
2,2017-03-01,423,,62755,TC正向,737067.865464,5274.14177433
3,2017-04-01,423,,53520,TC正向,512786.22371,3454.25246067
4,2017-05-01,423,,70291,TC正向,849203.703792,4469.28677843
5,2017-06-01,423,,73832,TC正向,966588.351818,5696.17076048
6,2017-07-01,423,,72925,TC正向,665238.638857,4316.78096411
7,2017-08-01,423,,65685,TC正向,692193.613982,5019.80372358
8,2017-09-01,423,,71161,TC正向,887857.706779,4275.41763728
9,2017-10-01,423,,98161,TC正向,1307999.12829,5827.11571652
10,2017-11-01,423,,104888,TC正向,1337781.40366,8386.73089641
11,2017-12-01,423,,118658,TC正向,1087379.0728,7432.33299764
0,2017-01-01,631,,0,TC正向,0.0,0.0
1,2017-02-01,631,,2114,TC正向,9674.25974677,56.9091564625
2,2017-03-01,631,,4671,TC正向,29512.0703102,68.1778421262
3,2017-04-01,631,,2171,TC正向,13178.5330451,45.1375758084
4,2017-05-01,631,,0,TC正向,0.0,0.0
5,2017-06-01,631,,2466,TC正向,13328.5007444,24.1370119968
6,2017-07-01,631,,3663,TC正向,26231.1888673,34.5445103059
7,2017-08-01,631,,2845,TC正向,20854.3752384,45.4079443306
8,2017-09-01,631,,3983,TC正向,25556.1273229,79.596909402
9,2017-10-01,631,,10403,TC正向,59389.854838,152.275615013
10,2017-11-01,631,,4253,TC正向,27115.5965371,80.9361835247
0,2017-01-01,754,,3771,TC正向,19178.7621946,42.7973142784
