,pred_type,ID,ds,numbox,weight,bulk
136,zhongzhuang,50,2015-5-24,829,7005.97,41.166899
137,zhongzhuang,50,2015-5-25,478,4298.47,22.9896
138,zhongzhuang,50,2015-5-26,538,4659.5,39.633199
139,zhongzhuang,50,2015-5-27,273,1506.4,15.5965
140,zhongzhuang,50,2015-5-28,157,1694.1,10.5272
141,zhongzhuang,50,2015-5-29,1460,7599.8,63.096797
142,zhongzhuang,50,2015-5-30,140,2075.5,7.4304
143,zhongzhuang,50,2015-5-31,477,4899.5,26.456696
144,zhongzhuang,50,2015-6-1,1180,11958.22,38.9303
145,zhongzhuang,50,2015-6-2,649,7015,28.321099
146,zhongzhuang,50,2015-6-3,337,3319.48,32.9944
147,zhongzhuang,50,2015-6-4,718,5840,43.9365
148,zhongzhuang,50,2015-6-5,644,5215.87,28.5943
149,zhongzhuang,50,2015-6-6,487,4272,35.289898
150,zhongzhuang,50,2015-6-7,990,12023.5,32.068399
151,zhongzhuang,50,2015-6-8,812,7177.22,79.1084
152,zhongzhuang,50,2015-6-9,620,9998.5,29.9804
153,zhongzhuang,50,2015-6-10,690,5818.23,42.0825
154,zhongzhuang,50,2015-6-11,521,3315.4,30.0656
155,zhongzhuang,50,2015-6-12,270,3454,20.597298
156,zhongzhuang,50,2015-6-13,710,5059,57.9541
157,zhongzhuang,50,2015-6-14,1088,13911.23,58.967698
158,zhongzhuang,50,2015-6-15,412,4528.63,20.9959
159,zhongzhuang,50,2015-6-16,628,4561.64,29.325399
160,zhongzhuang,50,2015-6-17,144,914.46,10.8921
161,zhongzhuang,50,2015-6-18,405,3943.3,12.9351
162,zhongzhuang,50,2015-6-19,371,2563,30.5105
163,zhongzhuang,50,2015-6-20,192,2697.5,27.3278
164,zhongzhuang,50,2015-6-21,1799,15945.35,84.290597
165,zhongzhuang,50,2015-6-22,529,4884,28.9388
166,zhongzhuang,50,2015-6-23,58,273,2.1137
167,zhongzhuang,50,2015-6-24,152,735.9,5.5818
168,zhongzhuang,50,2015-6-25,1327,16942.1,78.4505
169,zhongzhuang,50,2015-6-26,1103,10727.46,66.411098
170,zhongzhuang,50,2015-6-27,2118,12424.4,80.781299
171,zhongzhuang,50,2015-6-28,3225,40001.26,171.935799
172,zhongzhuang,50,2015-6-29,3883,34285.99,168.403498
173,zhongzhuang,50,2015-6-30,674,4275,44.861198
174,zhongzhuang,50,2015-7-1,1282,9520.879,72.331599
175,zhongzhuang,50,2015-7-2,1516,12194.3,87.569198
176,zhongzhuang,50,2015-7-3,1989,12833.31,109.4944
177,zhongzhuang,50,2015-7-4,3733,39008.039,188.365
178,zhongzhuang,50,2015-7-5,5284,59232.61,277.391096
179,zhongzhuang,50,2015-7-6,1843,22014.5,91.7072
180,zhongzhuang,50,2015-7-7,528,2754.44,20.5792
181,zhongzhuang,50,2015-7-8,1610,17304.68,65.267597
182,zhongzhuang,50,2015-7-9,724,6687.64,40.808197
183,zhongzhuang,50,2015-7-10,4058,36539.68,172.080298
184,zhongzhuang,50,2015-7-11,2605,32663.86,132.203999
185,zhongzhuang,50,2015-7-12,2595,23450.5,124.59
186,zhongzhuang,50,2015-7-13,6437,43007.84,579.606799
187,zhongzhuang,50,2015-7-14,606,7145.41,32.5401
188,zhongzhuang,50,2015-7-15,1078,11253.72,56.685599
189,zhongzhuang,50,2015-7-16,649,7548.37,18.5201
190,zhongzhuang,50,2015-7-17,4211,43222.64,225.711398
191,zhongzhuang,50,2015-7-18,3822,40352.35,199.403597
192,zhongzhuang,50,2015-7-19,3499,35800,163.193998
193,zhongzhuang,50,2015-7-20,3688,25679.46,179.720798
194,zhongzhuang,50,2015-7-21,832,4975.18,45.7322
195,zhongzhuang,50,2015-7-22,838,9111.6,60.4863
