,pred_type,ID,ds,numbox,weight,bulk
139,zhongzhuang,50,2015-05-27,273,1506.4,15.5965
140,zhongzhuang,50,2015-05-28,157,1694.1,10.5272
141,zhongzhuang,50,2015-05-29,1460,7599.8,63.096797
142,zhongzhuang,50,2015-05-30,140,2075.5,7.4304
143,zhongzhuang,50,2015-05-31,477,4899.5,26.456696
144,zhongzhuang,50,2015-06-01,1180,11958.22,38.9303
145,zhongzhuang,50,2015-06-02,649,7015.0,28.321099
146,zhongzhuang,50,2015-06-03,337,3319.48,32.9944
147,zhongzhuang,50,2015-06-04,718,5840.0,43.9365
148,zhongzhuang,50,2015-06-05,644,5215.87,28.5943
149,zhongzhuang,50,2015-06-06,487,4272.0,35.289898
150,zhongzhuang,50,2015-06-07,990,12023.5,32.068399
151,zhongzhuang,50,2015-06-08,812,7177.22,79.1084
152,zhongzhuang,50,2015-06-09,620,9998.5,29.9804
153,zhongzhuang,50,2015-06-10,690,5818.23,42.0825
154,zhongzhuang,50,2015-06-11,521,3315.4,30.0656
155,zhongzhuang,50,2015-06-12,270,3454.0,20.597298
156,zhongzhuang,50,2015-06-13,710,5059.0,57.9541
157,zhongzhuang,50,2015-06-14,1088,13911.23,58.967698
158,zhongzhuang,50,2015-06-15,412,4528.63,20.9959
159,zhongzhuang,50,2015-06-16,628,4561.64,29.325399
160,zhongzhuang,50,2015-06-17,144,914.46,10.8921
161,zhongzhuang,50,2015-06-18,405,3943.3,12.9351
162,zhongzhuang,50,2015-06-19,371,2563.0,30.5105
163,zhongzhuang,50,2015-06-20,192,2697.5,27.3278
164,zhongzhuang,50,2015-06-21,1799,15945.35,84.290597
165,zhongzhuang,50,2015-06-22,529,4884.0,28.9388
166,zhongzhuang,50,2015-06-23,58,273.0,2.1137
167,zhongzhuang,50,2015-06-24,152,735.9,5.5818
168,zhongzhuang,50,2015-06-25,1327,16942.1,78.4505
169,zhongzhuang,50,2015-06-26,1103,10727.46,66.411098
170,zhongzhuang,50,2015-06-27,2118,12424.4,80.781299
171,zhongzhuang,50,2015-06-28,3225,40001.26,171.935799
172,zhongzhuang,50,2015-06-29,3883,34285.99,168.403498
173,zhongzhuang,50,2015-06-30,674,4275.0,44.861198
