,pred_type,id,name,ds,numbox,weight,bulk
254,zhongzhuang,57,,2016-05,51678,390676.576,1861.441544
255,zhongzhuang,57,,2016-06,30960,240060.657,1218.009862
256,zhongzhuang,57,,2016-07,89548,692580.867,3701.27443
257,zhongzhuang,57,,2016-08,103720,869256.126,4518.303462
258,zhongzhuang,57,,2016-09,167692,1399066.846,7037.404471
259,zhongzhuang,57,,2016-10,258343,2067862.645,10628.173488
260,zhongzhuang,57,,2016-11,128108,1075706.332,5659.304523
261,zhongzhuang,57,,2016-12,201364,1631863.205,9159.164611
262,zhongzhuang,57,,2017-01,84603,670566.682,3696.299717
263,zhongzhuang,57,,2017-02,44441,323360.732,2036.888024
264,zhongzhuang,57,,2017-03,116846,940057.658,5577.531207
265,zhongzhuang,57,,2017-04,121927,949792.957,5514.897879
266,zhongzhuang,57,,2017-05,331995,2908970.103,15086.168109
267,zhongzhuang,57,,2017-06,143084,1238671.434,6846.792166
268,zhongzhuang,57,,2017-07,211155,1785425.383,9574.860338
269,zhongzhuang,57,,2017-08,309421,2624067.142,13453.414981
270,zhongzhuang,57,,2017-09,137199,1195393.607,6141.858652
271,zhongzhuang,355,,,1098,5084.05,28.8853
272,zhongzhuang,355,,2015-04,60,520.0,1.6979
273,zhongzhuang,355,,2015-06,1301,11889.0,71.744098
274,zhongzhuang,355,,2015-07,30354,255715.5,1411.927973
275,zhongzhuang,355,,2015-08,71816,591083.31,3215.396839
276,zhongzhuang,355,,2015-09,87104,736055.81,3938.810064
277,zhongzhuang,355,,2015-10,99787,790358.8,4155.492057
278,zhongzhuang,355,,2015-11,63683,543740.597,2921.421199
279,zhongzhuang,355,,2015-12,95790,787699.085,3993.680012
280,zhongzhuang,355,,2016-01,107352,847597.525,4122.400687
281,zhongzhuang,355,,2016-02,43020,353002.695,1629.407994
282,zhongzhuang,355,,2016-03,77995,635720.011,3140.913603
283,zhongzhuang,355,,2016-04,96933,816092.847,4257.002981
284,zhongzhuang,355,,2016-05,169310,1383842.657,6731.06929
