,pre_type,id,name,ds,numbox,weight,bulk
396,forward,392,,2017-09,7371,79027.74,353.631198
397,forward,393,,2017-07,52,780.0,3.1008
398,forward,393,,2017-08,2420,30988.8,153.800696
399,forward,393,,2017-09,1933,21446.0,88.994199
400,forward,396,,2016-01,4141,44013.3,382.216096
401,forward,396,,2016-02,3695,40518.999,354.491988
402,forward,396,,2016-03,6504,71208.81,592.51908
403,forward,396,,2016-04,9614,78032.99,756.16826
404,forward,396,,2016-05,25680,152463.82,1293.017829
405,forward,396,,2016-06,11191,86294.309,750.745222
406,forward,396,,2016-07,5265,42389.96,343.266794
407,forward,396,,2016-08,16255,88144.75,733.8889
408,forward,396,,2016-09,8901,63154.55,517.927743
409,forward,396,,2016-10,36729,232631.909,1709.525697
410,forward,396,,2016-11,21019,147371.19,1097.754617
411,forward,396,,2016-12,34805,191521.08,1445.2872
412,forward,396,,2017-01,46217,232156.919,1835.233165
413,forward,396,,2017-02,15283,126581.9,908.216611
414,forward,396,,2017-03,16825,177166.538,1282.740188
415,forward,396,,2017-04,17887,195989.882,1452.86029
416,forward,396,,2017-05,28605,242032.205,1871.634884
417,forward,396,,2017-06,20309,204430.438,1521.570642
418,forward,396,,2017-07,12739,150694.682,932.577484
419,forward,396,,2017-08,18160,189584.98,1200.998681
420,forward,396,,2017-09,7154,78063.79,541.806595
421,forward,397,,2016-05,1158,13733.32,60.4903
422,forward,397,,2016-06,2232,23460.04,102.8719
423,forward,397,,2016-07,1964,18937.64,77.195999
424,forward,397,,2016-08,2595,28958.42,105.2979
425,forward,397,,2016-09,2961,29422.63,143.88866
426,forward,397,,2016-10,3418,47979.9,202.458747
427,forward,397,,2016-11,3071,41138.134,162.084216
428,forward,397,,2016-12,2381,31754.138,146.321363
429,forward,397,,2017-01,2299,30683.599,135.872
430,forward,397,,2017-02,2994,37315.23,181.84584
431,forward,397,,2017-03,5804,69602.244,381.013836
432,forward,397,,2017-04,6316,81133.139,428.5174
433,forward,397,,2017-05,12906,144047.089,712.889092
434,forward,397,,2017-06,10845,77084.405,564.609332
435,forward,397,,2017-07,17934,121986.2,1018.51653
436,forward,397,,2017-08,41852,385830.749,2412.52943
437,forward,397,,2017-09,3323,47020.569,272.279944
438,forward,423,,2015-05,5105,56556.6,370.230498
439,forward,423,,2015-06,6432,83324.78,500.704294
440,forward,423,,2015-07,13358,192694.5,1048.919893
441,forward,423,,2015-08,27946,316946.0,1997.711493
442,forward,423,,2015-09,24863,285410.25,1840.618283
443,forward,423,,2015-10,41659,498679.5,2957.751082
444,forward,423,,2015-11,37718,488409.5,2791.496496
445,forward,423,,2015-12,66141,884688.7,6038.901193
446,forward,423,,2016-01,32143,418993.5,2553.911886
447,forward,423,,2016-02,12687,127977.52,813.241751
448,forward,423,,2016-03,34389,383888.51,2402.637376
449,forward,423,,2016-04,24323,238130.919,1423.427787
450,forward,423,,2016-05,50106,486137.91,3109.119629
451,forward,423,,2016-06,53367,451529.9,2812.445053
452,forward,423,,2016-07,48631,381060.25,2340.519284
453,forward,423,,2016-08,27123,299983.438,1794.591345
454,forward,423,,2016-09,38334,418806.92,2485.287333
455,forward,423,,2016-10,72442,832365.94,5541.024728
456,forward,423,,2016-11,86454,893531.27,5583.289806
457,forward,423,,2016-12,82276,872905.028,4911.551229
458,forward,423,,2017-01,70109,712028.9,4002.046368
459,forward,423,,2017-02,33588,328903.4,1992.362898
460,forward,423,,2017-03,70890,668724.54,4004.276781
461,forward,423,,2017-04,103434,889632.97,5365.01257
462,forward,423,,2017-05,139475,1283156.269,7337.956206
463,forward,423,,2017-06,78435,755510.31,4478.33715
464,forward,423,,2017-07,93039,761001.03,4109.921591
465,forward,423,,2017-08,80719,667098.549,3909.8632
466,forward,423,,2017-09,42803,405207.61,2327.267967
467,forward,631,,2016-04,89,717.5,3.019
468,forward,631,,2016-06,320,2117.5,2.9823
469,forward,631,,2016-07,1636,8537.5,19.5369
470,forward,631,,2016-09,1901,9013.0,21.8164
471,forward,631,,2016-10,7977,36505.0,124.087924
472,forward,631,,2016-11,1900,9000.0,21.6216
473,forward,631,,2017-01,676,3192.0,9.2325
